Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.008570958,-21.33347702,22.91685295,-4.857890129,31.68435714
3.018566958,-21.53932571,22.56035423,-5.503338814,31.67331485
3.028562958,-21.78118134,21.97207069,-6.118013382,31.53762576
3.038559958,-22.03775787,21.37941551,-6.663935661,31.4189468
3.048555958,-22.31764221,20.76364517,-7.196697235,31.32089663
3.058551958,-22.63300705,20.12090111,-7.720169067,31.2522748
3.068548958,-22.94166183,19.42853165,-8.333192825,31.19663111
3.078544958,-23.18746185,18.68657303,-9.047941208,31.12413274
3.088540958,-23.4533844,17.911026,-9.644254684,31.04638048
3.098537458,-23.74900055,17.14144135,-10.29613113,31.04600385
3.108533458,-24.01733398,16.25938416,-10.97079468,31.00900257
3.118529458,-24.26325226,15.19524193,-11.67956352,30.91945975
3.128526458,-24.46429825,14.21358871,-12.33991051,30.86748102
3.138522458,-24.7818985,13.09005547,-13.03355598,30.90898942
3.148518458,-25.00554276,11.91873169,-13.70180321,30.90425124
3.158515458,-25.18201065,10.66202164,-14.33964729,30.87778895
3.168511458,-25.23068237,9.307556152,-14.80243301,30.69739334
3.178507458,-25.31975937,7.99310112,-15.38361359,30.68607904
3.188504458,-25.35599518,6.726884842,-15.88666534,30.66860947
3.198500458,-25.26451492,5.445655823,-16.5628109,30.6965403
3.208496458,-25.12602234,4.218173027,-17.17481613,30.72595469
3.218493458,-24.97119141,3.018333435,-17.75035858,30.78548305
3.228489458,-24.74988174,1.795456886,-18.36267853,30.87018423
3.238485458,-24.53172684,0.6642684937,-18.89521408,30.9721809
3.248482458,-24.21022797,-0.3969640732,-19.35603905,30.99917686
3.258478458,-23.86128235,-1.414926529,-19.85503006,31.07386412
3.268474458,-23.44775391,-2.223157883,-20.40907288,31.16520255
3.278471458,-22.9797554,-2.938753128,-21.0371933,31.29327292
3.288467458,-22.36554337,-3.534160614,-21.71414757,31.37215367
3.298463458,-21.71292877,-4.042254925,-22.52270699,31.54462602
3.308460458,-20.82533646,-4.434492588,-23.40726662,31.64268468
3.318456458,-19.91866302,-4.731950283,-24.41686058,31.86420516
3.328452458,-18.95150375,-5.006864548,-25.27181053,31.98269211
3.338449458,-18.01417542,-5.194583893,-26.03297234,32.08130088
3.348445458,-17.07093811,-5.246864796,-26.86177635,32.25680621
3.358441458,-16.12963104,-5.081914425,-27.64684486,32.40893214
3.368438458,-15.09050274,-4.851994038,-28.31567574,32.45061804
3.378434458,-14.27919388,-4.458127022,-28.88506889,32.52871776
3.388430458,-13.81672668,-4.147794247,-29.13855553,32.51402085
3.398427458,-13.83541679,-3.894453526,-29.23650551,32.57850181
3.408423458,-13.85738277,-3.859529972,-29.31347084,32.65275795
3.418419458,-13.82858372,-3.981106281,-29.43734169,32.76638553
3.428416458,-13.58250618,-4.145892143,-29.69755363,32.91834728
3.438412458,-13.18206501,-4.474817753,-29.99466133,33.06766608
3.448408458,-12.52870369,-4.994003773,-30.24136543,33.11266635
3.458405458,-11.64847183,-5.595830917,-30.51823235,33.14155587
3.468401458,-10.64015007,-6.328744411,-30.90980721,33.29687644
3.478397458,-9.476672173,-7.089262009,-31.36566353,33.5241674
3.488393458,-8.258786201,-7.901201725,-31.80513191,33.79649322
3.498390458,-7.071185112,-8.763996124,-32.03824615,33.95965995
3.508386458,-5.970700264,-9.64735508,-32.13119507,34.07542249
3.518382458,-5.970700264,-9.64735508,-32.13119507,34.07542249
3.528379458,-4.860253334,-10.50502014,-32.10387421,34.12676735
3.538375458,-3.873399734,-11.27763939,-32.06755829,34.21281442
3.548371458,-2.93656826,-11.79118443,-32.14129639,34.36158315
3.558368458,-2.073989391,-12.28757381,-32.12973022,34.46165212
3.568364458,-1.237171888,-12.65849018,-32.11575317,34.54257619
3.578360458,-0.4324109554,-12.92288399,-32.09420776,34.60095493
3.588357458,0.3294849396,-13.13463783,-32.11593628,34.69957686
3.598353458,1.07408309,-13.25170135,-32.05031586,34.69847244
3.608349458,1.892659187,-13.51394844,-32.03755188,34.82260317
3.618346458,2.70664835,-13.8031292,-31.95483589,34.91366291
3.628342458,3.514059544,-14.1072464,-31.79467964,34.960902
3.638338458,4.254200935,-14.54149628,-31.54601479,34.99577672
3.648335458,4.958539009,-14.92957211,-31.36303902,35.08731179
3.658331458,5.759652615,-15.49708557,-31.14092445,35.25748765
3.668327458,6.537037373,-15.99884605,-30.78595543,35.30539597
3.678324458,7.30416441,-16.40834045,-30.51466942,35.40804293
3.688320458,8.022809029,-16.78184891,-30.22759056,35.49229703
3.698316458,8.587406158,-16.99986649,-29.97532082,35.5142065
3.708313458,9.152620316,-17.11186981,-29.79436302,35.55686453
3.718309458,9.520311356,-17.10779953,-29.52051353,35.42278719
3.728305458,9.795042038,-17.19143677,-29.26901817,35.32936132
3.738302458,10.0582037,-17.39793015,-28.96764946,35.25592362
3.748298458,10.21159935,-17.56519508,-28.8500576,35.2865224
3.758294458,10.34963703,-17.76381111,-28.66351509,35.27414165
3.768291458,10.54467297,-18.12891388,-28.39817238,35.30302878
3.778287458,10.66959667,-18.49843216,-28.19009972,35.36543521
3.788283458,10.8126955,-18.84062004,-27.94026375,35.39126567
3.798280458,11.00311375,-19.28384018,-27.57922935,35.40549246
3.808276458,11.15088081,-19.75009346,-27.15692329,35.38229525
3.818272458,11.20888519,-20.3272171,-26.78604317,35.444703
3.828269458,11.18861771,-20.98072624,-26.33088112,35.47804025
3.838265458,11.02248287,-21.62091446,-25.85196114,35.45818615
3.848261458,10.72252655,-22.3230896,-25.35447884,35.4421007
3.858258458,10.39235401,-23.01896858,-24.8516674,35.43274346
3.868254458,9.937086105,-23.622715,-24.45697212,35.42487586
3.878250458,9.548967361,-24.15573502,-24.05837822,35.40463069
3.888247458,9.044525146,-24.56589699,-23.69828606,35.31140739
3.898243458,8.602359772,-24.91425896,-23.4080677,35.25136205
3.908239458,8.195079803,-25.23802567,-23.04291916,35.14389557
3.918236458,7.778515339,-25.61016655,-22.75310707,35.12961447
3.928232458,7.439923286,-26.00016022,-22.35543442,35.08740854
3.938228458,7.044698715,-26.22904778,-22.10639381,35.01832912
3.948225458,6.739776134,-26.49936867,-21.85847855,35.0062024
3.958221458,6.488411903,-26.81609726,-21.54931641,35.00822187
3.968217458,6.275061607,-27.09578514,-21.24919701,35.00123346
3.978214458,6.139914989,-27.26861,-20.91197014,34.90825321
3.988210458,6.033335209,-27.48099136,-20.57676697,34.85698436
3.998206458,5.929831505,-27.70822334,-20.27787018,34.84394584
4.008203458,5.822673321,-27.97271156,-19.95668793,34.8517648
4.018199458,5.670494556,-28.21372604,-19.65001297,34.84669074
4.028195458,5.473387718,-28.38137245,-19.36435318,34.79135596
4.038192458,5.380272865,-28.51774597,-19.07425117,34.72803233
4.048188458,5.27623558,-28.58808517,-18.81910324,34.63056342
4.058184458,5.140598297,-28.58543205,-18.6924839,34.53927664
4.068181458,4.916531563,-28.63011932,-18.67314911,34.53320884
4.078177458,4.636088848,-28.77615547,-18.646698,34.60144202
4.088173458,4.390337944,-28.85513878,-18.57342339,34.59575346
4.098169458,4.098734856,-28.83885574,-18.47859001,34.49547096
4.108166458,3.908197641,-28.77486992,-18.42502022,34.39111103
4.118162458,3.637832165,-28.83543968,-18.41160774,34.40499534
4.128158458,3.456788778,-28.78508759,-18.47782707,34.37965604
4.138155458,3.222626686,-28.67735863,-18.58966637,34.32713091
4.148151458,3.008648634,-28.58490372,-18.68819427,34.28406762
4.158147458,2.7631917,-28.55044556,-18.71885681,34.25140538
4.168144458,2.614508152,-28.58148575,-18.51212311,34.15312112
